ticket_guid,segment,country,city,language,type_category,sentiment,urgency,office,manager,needs_review,summary
117af0c4-cb00-f111-8407-0022481ba51f,VIP,Казахстан,Караганда,RU,Смена данных,Негативный,10,Астана,Менеджер 22,f,Клиент просит удалить его персональные данные и прекратить звонки/sms. Срочность высокая.
f79259e3-9cf2-f011-8406-0022481ba51f,Mass,Казахстан,Красный Яр,RU,Неработоспособность приложения,Негативный,10,Алматы,Менеджер 18,f,Клиенту заблокировали счета и он требует их немедленного разблокирования. Ситуация неработоспособность приложения.
136d32a0-bafd-f011-8406-0022481ba51f,Mass,Казахстан,Шымкент,RU,Мошеннические действия,Негативный,10,Шымкент,Менеджер 27,f,"Клиент заявляет, что перевод на сумму 200 EUR из Sparkasse не был зачислен на его счет. Он обвиняет компанию в мошенничестве и требует немедленного решения проблемы или инициирования расследования правоохранительными органами."
3692ae0e-f5ef-f011-8406-0022481ba5f0,Mass,Казахстан,Аксу,RU,Неработоспособность приложения,Негативный,10,Астана,Менеджер 39,f,"Клиент сообщает о неработающей функции получения смс и требует срочного решения проблемы, повысив приоритет обращения."
b44f142b-78c5-4573-9bde-fe0780b2e028,Mass,Казахстан,Шымкент,RU,Неработоспособность приложения,Негативный,10,Шымкент,Менеджер 14,f,Клиент предоставил изображение с ошибкой заказа. Требуется немедленное устранение проблемы в приложении.
6f860ff9-cc01-f111-8407-0022481ba3d1,VIP,Казахстан,Кокпекты,RU,Претензия,Негативный,8,Астана,Менеджер 22,t,"Клиент требует вернуть свои деньги, так как списали комиссию дважды по $25 за одну транзакцию. urgency: высокий из-за угрозы подать в суд."
4071842c-10df-f011-8406-0022481ba2e6,Mass,Казахстан,Кокпек,RU,Жалоба,Негативный,8,Алматы,Менеджер 11,f,"Клиент не получил деньги на счет, просит вернуть средства. Верни ASAP!"
85c96430-f0e9-f011-8406-0022481ba51f,VIP,Казахстан,Кыргауылды,RU,Жалоба,Негативный,7,Астана,Менеджер 43,f,"Клиент не может войти в свой аккаунт, пароль не принимается. Он пытался восстановить пароль через email и SMS, но оба метода не работают. Нужно помочь разобраться с проблемой."
8de250d3-eef5-f011-8406-0022481bac13,Mass,Казахстан,Аксу,RU,Мошеннические действия,Негативный,5,Алматы,Менеджер 15,f,Заявитель обеспокоен возможным мошенничеством. Просит проверить сертификат и сотрудников.
2a99d51e-7dfb-f011-8406-0022481bac13,Mass,Казахстан,Туркестан,RU,Жалоба,Негативный,5,Алматы,Менеджер 24,t,"Клиент не может подключиться к услуге, указав причину неудачи. Необходимо разобраться с проблемой."
da158b87-f1e9-f011-8406-0022481ba5f0,VIP,Казахстан,Усть-Каменогорск,RU,Смена данных,Нейтральный,3,Усть-Каменогорск,Менеджер 42,f,Клиент хочет уточнить за что и когда удерживается комиссия 50 долларов за обслуживание бездействующих счетов.
fe44694a-10ed-f011-8406-0022481ba5f0,VIP,Казахстан,Тургень,RU,Смена данных,Нейтральный,3,Астана,Менеджер 22,f,Запрос на возможность покупки акций дробно в приложении Freedom Broker и последовательность действий.
16a8690e-4aec-f011-8406-0022481bad7e,VIP,Казахстан,Караганда,RU,Смена данных,Нейтральный,3,Астана,Менеджер 43,f,Клиент не смог произвести оплату картой привязанной к D счету. Банк сказал проблем на их стороне нет и посоветовал обратиться к брокеру. Также интересует термин «обновить экономический портфель».
a154a8e6-439d-4a7b-86e8-56ef94b18ee2,VIP,Казахстан,Усть-Каменогорск,RU,Смена данных,Нейтральный,3,Усть-Каменогорск,Менеджер 42,f,Клиент обращается с жалобой на неправильные показатели динамики бумаг. Предлагает исправить данные.
80c6ed25-45f0-f011-8406-0022481ba5f0,Mass,Казахстан,Сарань,RU,Смена данных,Нейтральный,3,Астана,Менеджер 38,f,Не могу зарегистрироваться в приложении Freedom Broker из-за ошибки при вводе почты и пароля. Попытка использования VPN не помогла.
c27f8c40-1ff5-f011-8406-0022481ba15f,Mass,Казахстан,Осакаровка,RU,Неработоспособность приложения,Нейтральный,3,Алматы,Менеджер 18,f,"Клиент не получает смс на восстановление пароля, требуется проверка причины."
6f129f43-ecfa-f011-8406-0022481bad7e,Mass,Казахстан,Алматы,ENG,Смена данных,Нейтральный,3,Алматы,Менеджер 18,f,Клиент не может предоставить документы на английском или турецком из-за необходимости в азербайжанском языке. Он просит разрешения на использование альтернативного документа или ручную проверку его адреса.
6396447c-daf1-f011-8406-0022481ba303,Mass,Казахстан,Бадам,ENG,Неработоспособность приложения,Нейтральный,3,Астана,Менеджер 40,f,"Клиент заблокирован в вашем при из-за попыток добавить адресную регистрацию. Пожалуйста, разблокируйте его."
591d3e1d-ebf8-f011-8406-0022481ba046,Mass,Казахстан,Шардара,ENG,Смена данных,Нейтральный,3,Астана,Менеджер 38,f,"Клиент из Украины не может подтвердить регистрацию адресом, так как документы на украинском языке. Он просит помочь с валидацией."
b135ab3e-b8ef-f011-8406-0022481ba303,Mass,Казахстан,Ленгер,RU,Смена данных,Нейтральный,3,Алматы,Менеджер 18,f,Клиент не может изменить данные своего счета из-за просрочки удостоверений личности. Прошу менеджера помочь с этим вопросом.
be5a4633-fe0a-f111-8407-0022481ba5f0,Mass,Казахстан,Павлодар,RU,Смена данных,Нейтральный,3,Павлодар,Менеджер 47,f,"Клиент хочет уточнить права Money Advisor и наличие официального офиса в Казахстане. Возможно, это жалоба на мошенничество."
c577d3fd-dafc-f011-8406-0022481ba139,Mass,Казахстан,Шортанды,RU,Неработоспособность приложения,Нейтральный,3,Алматы,Менеджер 15,f,"Клиент не может войти в приложение из-за ошибки с номером телефона. Он хочет изменить старый номер на новый, но система его не принимает."
ba61a4e7-f0f1-f011-8406-0022481ba51f,VIP,Казахстан,Алматы,RU,Смена данных,Нейтральный,1,Алматы,Менеджер 18,f,Клиент хочет сменить номер телефона и просит связаться по указанному номеру для уточнения информации.
9c0a1f1e-6702-f111-8407-0022481ba15f,Priority,Казахстан,Кентау,RU,Смена данных,Нейтральный,1,Алматы,Менеджер 10,f,Клиент хочет получить номер налогоплательщика для уведомления своего налогового органа. Продолжить работу по запросу клиента.
493fd23b-ad01-f111-8407-0022481baec1,Mass,Казахстан,Конаев (Капчагай),RU,Смена данных,Нейтральный,1,Алматы,Менеджер 18,f,Клиент получил информацию о мероприятии на Московской бирже и банке ПЕРВОУРАЛЬСКБАНК. Он был приглашен на встречу 5 февраля в 15:00.
5d29d98c-55fb-f011-8406-0022481baa2c,Mass,Казахстан,Бескарагай,KZ,Смена данных,Нейтральный,1,Алматы,Менеджер 18,f,Клиент спрашивает о возможности приобретения облигаций. Необходимо уточнить информацию менеджеру.
cc75c0da-e907-f111-8407-0022481bac13,Mass,Казахстан,Костанай,RU,Смена данных,Нейтральный,1,Костанай,Менеджер 31,f,Клиент получил выгодное предложение на сварочные многофункциональные агрегаты ET-Welding. Предложил подобрать оборудование для его задач и наличие на складе.
a9f07a3d-a905-f111-8407-0022481baec1,Mass,,Aktau,RU,Смена данных,Нейтральный,1,Алматы,Менеджер 10,f,Клиент хочет изменить номер телефона в профиле. Необходимо уведомить клиента о процессе смены номера.
d8dcd8f8-b4eb-f011-8406-0022481ba388,Mass,Казахстан,Кокшетау,RU,Смена данных,Нейтральный,1,Астана,Менеджер 43,f,"Здравствуйте, вы можете предоставить информацию о доступе к ETF KSA или прямой торговле на Tadawul? Это рынок Саудовской Аравии, который вступил в силу с 1 февраля этого года."
68086831-220b-f111-8407-0022481baa2c,Mass,Казахстан,Индербор,KZ,Смена данных,Нейтральный,1,Астана,Менеджер 43,f,"Клиент спрашивает, какая облигация стоит в тенге. Менеджеру нужно ответить на этот вопрос."
bb54127b-4ef1-f011-8406-0022481ba654,Mass,Казахстан,Косшы / Астана,RU,Смена данных,Нейтральный,1,Астана,Менеджер 22,f,"Обращение содержит информацию о специальных ценах на тюльпаны срезанные из питомника Вашутино. Предлагается минимум заказа, упаковка и транспортировка цветов."
